Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sao Tome and Principe,10.51756001,10.83865166,10.69723701,12.6639061,11.91980934,11.55062962,8.30422878,8.20471764,7.16872263,7.24220848,6.86072636,6.76036882,6.47629499,7.93743753,6.73101807,5.34009647,6.43088865,6.46181059,5.50957823,5.29584646,7.30042553,7.82528496,:
Senegal,3.55015397,3.68148756,3.95294404,4.29703569,4.56856203,3.67466521,3.76337624,3.41496587,3.50687575,3.841573,4.02764368,4.21416712,4.26688004,4.38573599,4.38962269,4.37789631,4.25606871,4.16359377,4.43182087,4.49531031,5.15119171,4.35098124,:
Seychelles,4.61071777,5.01642942,4.35287333,5.08738041,4.90274191,4.66865683,4.39767885,3.85076666,3.61745405,3.54135323,4.50142097,4.46079111,5.39592934,4.24818325,4.59131193,4.37339973,4.96118879,4.76658726,4.94443846,4.77020788,6.54135609,5.25937986,:
Sierra Leone,8.48961735,8.36564541,9.40313911,8.4533062,8.67061424,9.04395866,9.02353287,8.52283859,8.81158161,9.68422222,9.12688351,10.76753807,8.94355106,11.59017754,19.69004631,19.65816307,15.78850651,9.3997612,8.28987598,9.12992668,9.32588673,8.55334282,:
South Africa,7.3366189,7.12327909,6.67774487,7.04098177,6.938416,6.86216164,6.87650871,6.90510845,7.14832258,7.64941454,7.79358244,7.94434404,8.00428867,8.10322285,7.87136555,8.05304241,8.07959366,7.97711229,8.08820343,8.24418926,8.57258797,8.27309132,:
South Sudan,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.9569149,10.05615997,9.03740788,9.44806385,5.86061621,:
Togo,2.79418182,2.88543367,2.90227056,2.93837667,3.0855279,3.3024261,3.44603634,3.8666532,3.84063601,4.07616663,4.45493317,4.55412722,4.80787134,4.94373512,5.07998943,4.95647097,6.59755707,6.49392271,6.08894634,5.726192,6.03786469,5.55532026,:
Uganda,5.08276892,5.05207348,4.77135611,4.29918194,4.7002449,5.80518579,6.46332979,6.1131134,5.45476198,5.78845549,6.80890226,6.6959095,6.10853958,5.78252411,5.33653069,5.0745697,4.96169233,3.99788952,4.02080536,3.79834843,4.30198574,4.67196703,:
United Republic of Tanzania,3.41529942,4.23551702,4.68907642,5.34231472,5.7373414,6.32282543,7.598279,6.88427973,5.55704737,5.06306362,5.22392178,5.0559845,5.01779366,4.64643383,4.01492071,3.64969945,3.96350336,4.08257437,4.16191673,3.88136053,2.93978429,3.36136484,:
Zambia,4.17365646,4.82995701,5.88845205,5.99553585,5.48490572,6.33088684,5.5774231,4.57961416,4.46690989,5.15718842,3.97471905,3.95913363,4.04541731,4.57390451,3.82924223,4.42974281,4.46923161,4.78156233,4.76996708,6.75332499,6.31619787,6.62416458,:
Zimbabwe,:,:,:,:,:,:,:,:,:,:,10.47583866,8.08288383,6.91794872,7.10940313,8.13227272,7.44982719,7.46644735,6.36358309,4.67039156,3.23280239,2.95440149,2.78975058,:
Antigua and Barbuda,4.71542597,5.43839121,5.28793621,5.58143282,5.11667967,4.99094057,4.63050652,4.44609547,4.20027018,4.17732763,5.37907028,5.44257212,5.47921467,5.50909233,5.87269926,5.27965546,5.12190151,4.87493944,4.84869289,4.37567186,5.92146206,5.85133028,:
Argentina,8.22001076,8.37179852,7.3933115,6.89451647,7.22868252,7.61078882,7.64032793,7.83455086,8.1826973,9.45599556,9.44546413,9.41819859,9.82726669,9.78097916,9.67129993,10.22933674,9.85558891,10.23174763,10.29146862,10.04194355,10.34701538,9.70880699,:
Bahamas,3.80487037,3.92440891,3.81251931,4.01998568,4.04628181,4.03196478,4.30935764,4.49598694,4.86261654,5.1500144,5.25594234,5.32398558,5.3190918,5.59409571,5.53944159,5.16048241,5.68248844,6.70352888,5.98263836,5.82275152,7.64700842,7.13872051,:
Barbados,5.33187246,5.52529192,5.86123466,6.69148111,7.31297731,6.77536297,6.58370161,6.05665207,6.47753286,7.14522552,6.77094746,6.89690495,7.77819967,7.39825487,6.96651411,6.83201313,6.83736086,6.65253401,6.45336485,6.20015001,7.37276554,8.09043312,:
Belize,2.98060012,3.49099278,3.59433174,3.56305766,3.44779563,3.46698904,3.57004833,4.07867432,4.53821993,4.52587652,4.49519491,4.54942894,4.36242819,4.43660116,4.88208723,4.65365601,4.76508141,4.61620188,4.74657917,4.81374073,5.30974436,4.98043823,:
Bolivia (Plurinational State of),4.39554119,4.82522202,4.89645052,5.19709635,4.86315727,5.07408142,4.66087532,4.6968894,4.60677242,5.17444515,5.20230532,5.17306805,5.2539444,5.57465124,5.89613628,6.55064964,6.83333063,6.4901948,6.60399437,6.88792992,8.0225811,8.15972805,:
Brazil,8.33457184,8.54963303,8.69686985,8.18899441,8.12491989,8.03539562,8.24952507,8.20182991,8.01128483,8.39480495,7.94516611,7.78819132,7.73637724,7.9766016,8.39644146,8.90929985,9.16901493,9.47124863,9.46475029,9.61449146,10.18235016,9.89072323,:
